distance,split_1,filepath_1,group_id_1,split_2,filepath_2,group_id_2
4,train,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-1306-0001.jpeg,NORMAL_IM-1306,test,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-0490-0001.jpeg,NORMAL_IM-0490
4,train,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-1348-0001.jpeg,NORMAL_IM-1348,test,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-0842-0001.jpeg,NORMAL_IM-0842
4,train,data/raw/chest_xray/train/PNEUMONIA/person1380_bacteria_3515.jpeg,PNEUMONIA_PERSON1380,test,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-0980-0001.jpeg,NORMAL_IM-0980
4,train,data/raw/chest_xray/train/PNEUMONIA/person543_virus_1073.jpeg,PNEUMONIA_PERSON543,test,data/raw/chest_xray/train/PNEUMONIA/person594_virus_1145.jpeg,PNEUMONIA_PERSON594
4,train,data/raw/chest_xray/test/NORMAL/IM-0070-0001.jpeg,NORMAL_IM-0070,test,data/raw/chest_xray/train/NORMAL/IM-0475-0001.jpeg,NORMAL_IM-0475
4,train,data/raw/chest_xray/test/PNEUMONIA/person35_virus_80.jpeg,PNEUMONIA_PERSON35,test,data/raw/chest_xray/train/NORMAL/IM-0300-0001.jpeg,NORMAL_IM-0300
4,train,data/raw/chest_xray/train/NORMAL/IM-0255-0001.jpeg,NORMAL_IM-0255,val,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-1094-0001-0002.jpeg,NORMAL_IM-1094
4,train,data/raw/chest_xray/train/NORMAL/IM-0286-0001.jpeg,NORMAL_IM-0286,val,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-0849-0001.jpeg,NORMAL_IM-0849
4,train,data/raw/chest_xray/train/NORMAL/IM-0290-0001.jpeg,NORMAL_IM-0290,val,data/raw/chest_xray/train/PNEUMONIA/person1205_bacteria_3157.jpeg,PNEUMONIA_PERSON1205
4,train,data/raw/chest_xray/train/NORMAL/IM-0299-0001.jpeg,NORMAL_IM-0299,val,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-0849-0001.jpeg,NORMAL_IM-0849
4,train,data/raw/chest_xray/train/NORMAL/IM-0476-0001.jpeg,NORMAL_IM-0476,val,data/raw/chest_xray/train/NORMAL/IM-0307-0001.jpeg,NORMAL_IM-0307
4,train,data/raw/chest_xray/train/NORMAL/IM-0507-0001.jpeg,NORMAL_IM-0507,val,data/raw/chest_xray/train/PNEUMONIA/person932_virus_1593.jpeg,PNEUMONIA_PERSON932
4,train,data/raw/chest_xray/train/NORMAL/IM-0529-0001.jpeg,NORMAL_IM-0529,val,data/raw/chest_xray/train/NORMAL/IM-0678-0001.jpeg,NORMAL_IM-0678
4,train,data/raw/chest_xray/train/NORMAL/IM-0624-0001.jpeg,NORMAL_IM-0624,val,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-1094-0001-0002.jpeg,NORMAL_IM-1094
4,train,data/raw/chest_xray/train/NORMAL/IM-0650-0001-0002.jpeg,NORMAL_IM-0650,val,data/raw/chest_xray/test/NORMAL/NORMAL2-IM-0060-0001.jpeg,NORMAL_IM-0060
4,train,data/raw/chest_xray/train/NORMAL/IM-0752-0001.jpeg,NORMAL_IM-0752,val,data/raw/chest_xray/train/PNEUMONIA/person1230_virus_2081.jpeg,PNEUMONIA_PERSON1230
4,train,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-0423-0001.jpeg,NORMAL_IM-0423,val,data/raw/chest_xray/train/NORMAL/IM-0678-0001.jpeg,NORMAL_IM-0678
4,train,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-0423-0001.jpeg,NORMAL_IM-0423,val,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-0971-0001-0002.jpeg,NORMAL_IM-0971
4,train,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-0423-0001.jpeg,NORMAL_IM-0423,val,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-1111-0001.jpeg,NORMAL_IM-1111
4,train,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-0433-0001.jpeg,NORMAL_IM-0433,val,data/raw/chest_xray/train/NORMAL/IM-0678-0001.jpeg,NORMAL_IM-0678
4,train,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-0547-0001.jpeg,NORMAL_IM-0547,val,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-0971-0001-0002.jpeg,NORMAL_IM-0971
4,train,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-0596-0001.jpeg,NORMAL_IM-0596,val,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-0915-0001.jpeg,NORMAL_IM-0915
4,train,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-0633-0001.jpeg,NORMAL_IM-0633,val,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-0971-0001-0002.jpeg,NORMAL_IM-0971
4,train,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-0647-0001.jpeg,NORMAL_IM-0647,val,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-0937-0001.jpeg,NORMAL_IM-0937
4,train,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-0696-0001.jpeg,NORMAL_IM-0696,val,data/raw/chest_xray/train/NORMAL/IM-0678-0001.jpeg,NORMAL_IM-0678
4,train,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-0696-0001.jpeg,NORMAL_IM-0696,val,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-0971-0001-0002.jpeg,NORMAL_IM-0971
4,train,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-0698-0001.jpeg,NORMAL_IM-0698,val,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-0914-0001.jpeg,NORMAL_IM-0914
4,train,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-0814-0001.jpeg,NORMAL_IM-0814,val,data/raw/chest_xray/train/NORMAL/IM-0635-0001.jpeg,NORMAL_IM-0635
4,train,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-0820-0001.jpeg,NORMAL_IM-0820,val,data/raw/chest_xray/train/NORMAL/IM-0678-0001.jpeg,NORMAL_IM-0678
4,train,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-1054-0001.jpeg,NORMAL_IM-1054,val,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-1247-0001.jpeg,NORMAL_IM-1247
4,train,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-1058-0001.jpeg,NORMAL_IM-1058,val,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-0971-0001-0002.jpeg,NORMAL_IM-0971
4,train,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-1064-0001.jpeg,NORMAL_IM-1064,val,data/raw/chest_xray/train/NORMAL/IM-0391-0001.jpeg,NORMAL_IM-0391
4,train,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-1088-0001.jpeg,NORMAL_IM-1088,val,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-0449-0001.jpeg,NORMAL_IM-0449
4,train,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-1136-0001.jpeg,NORMAL_IM-1136,val,data/raw/chest_xray/train/PNEUMONIA/person1205_bacteria_3157.jpeg,PNEUMONIA_PERSON1205
4,train,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-1152-0001-0001.jpeg,NORMAL_IM-1152,val,data/raw/chest_xray/train/NORMAL/IM-0635-0001.jpeg,NORMAL_IM-0635
4,train,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-1198-0001.jpeg,NORMAL_IM-1198,val,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-1094-0001.jpeg,NORMAL_IM-1094
4,train,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-1260-0001.jpeg,NORMAL_IM-1260,val,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-0971-0001-0002.jpeg,NORMAL_IM-0971
4,train,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-1261-0001.jpeg,NORMAL_IM-1261,val,data/raw/chest_xray/train/NORMAL/IM-0635-0001.jpeg,NORMAL_IM-0635
4,train,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-1269-0001-0001.jpeg,NORMAL_IM-1269,val,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-1258-0001-0001.jpeg,NORMAL_IM-1258
4,train,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-1292-0001.jpeg,NORMAL_IM-1292,val,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-0914-0001.jpeg,NORMAL_IM-0914
4,train,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-1303-0001.jpeg,NORMAL_IM-1303,val,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-1258-0001-0002.jpeg,NORMAL_IM-1258
4,train,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-1332-0001.jpeg,NORMAL_IM-1332,val,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-0849-0001.jpeg,NORMAL_IM-0849
4,train,data/raw/chest_xray/train/PNEUMONIA/person1036_bacteria_2970.jpeg,PNEUMONIA_PERSON1036,val,data/raw/chest_xray/train/PNEUMONIA/person607_bacteria_2470.jpeg,PNEUMONIA_PERSON607
4,train,data/raw/chest_xray/train/PNEUMONIA/person1380_bacteria_3515.jpeg,PNEUMONIA_PERSON1380,val,data/raw/chest_xray/train/PNEUMONIA/person798_virus_1430.jpeg,PNEUMONIA_PERSON798
4,train,data/raw/chest_xray/train/PNEUMONIA/person1488_virus_2593.jpeg,PNEUMONIA_PERSON1488,val,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-1094-0001.jpeg,NORMAL_IM-1094
4,train,data/raw/chest_xray/train/PNEUMONIA/person45_bacteria_221.jpeg,PNEUMONIA_PERSON45,val,data/raw/chest_xray/train/PNEUMONIA/person818_bacteria_2729.jpeg,PNEUMONIA_PERSON818
4,train,data/raw/chest_xray/train/PNEUMONIA/person504_bacteria_2132.jpeg,PNEUMONIA_PERSON504,val,data/raw/chest_xray/train/PNEUMONIA/person1255_virus_2132.jpeg,PNEUMONIA_PERSON1255
4,train,data/raw/chest_xray/train/PNEUMONIA/person673_virus_1263.jpeg,PNEUMONIA_PERSON673,val,data/raw/chest_xray/train/PNEUMONIA/person955_bacteria_2880.jpeg,PNEUMONIA_PERSON955
4,train,data/raw/chest_xray/train/PNEUMONIA/person833_virus_1469.jpeg,PNEUMONIA_PERSON833,val,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-0937-0001.jpeg,NORMAL_IM-0937
4,train,data/raw/chest_xray/test/PNEUMONIA/person1679_virus_2896.jpeg,PNEUMONIA_PERSON1679,val,data/raw/chest_xray/val/NORMAL/NORMAL2-IM-1431-0001.jpeg,NORMAL_IM-1431
4,val,data/raw/chest_xray/train/NORMAL/IM-0678-0001.jpeg,NORMAL_IM-0678,test,data/raw/chest_xray/train/PNEUMONIA/person513_virus_1030.jpeg,PNEUMONIA_PERSON513
